rank,file,class,method,pattern_id,pattern_name,similarity_score,confidence,ast_score,control_flow_score,methods_score,operators_score,tokens_score,snippet_preview
1,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\AtomicSafeInitializerSupplierTest.java,AtomicSafeInitializerSupplierTest,,resource-leak,Resource Leak,0.9286,0.9429,0.3500,0.2500,0.2000,0.1000,0.0286,
2,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\AtomicSafeInitializerTest.java,AtomicSafeInitializerTest,,resource-leak,Resource Leak,0.9286,0.9429,0.3500,0.2500,0.2000,0.1000,0.0286,
3,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\LazyInitializerSingleInstanceTest.java,LazyInitializerSingleInstanceTest,,resource-leak,Resource Leak,0.9286,0.9429,0.3500,0.2500,0.2000,0.1000,0.0286,
4,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\MultiBackgroundInitializerTest.java,MultiBackgroundInitializerTest,,resource-leak,Resource Leak,0.9286,0.9429,0.3500,0.2500,0.2000,0.1000,0.0286,
5,dados\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableTest.java,FailableTest,,resource-leak,Resource Leak,0.9250,0.9400,0.3500,0.2500,0.2000,0.1000,0.0250,
6,dados\commons-lang\src\main\java\org\apache\commons\lang3\builder\EqualsBuilder.java,EqualsBuilder,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
7,dados\commons-lang\src\test\java\org\apache\commons\lang3\AnnotationUtilsTest.java,AnnotationUtilsTest,,null-dereference,Null Dereference,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
8,dados\commons-lang\src\test\java\org\apache\commons\lang3\FunctionsTest.java,FunctionsTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
9,dados\commons-lang\src\test\java\org\apache\commons\lang3\FunctionsTest.java,FunctionsTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
10,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\AbstractConcurrentInitializerCloseAndExceptionsTest.java,AbstractConcurrentInitializerCloseAndExceptionsTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
11,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\BackgroundInitializerTest.java,BackgroundInitializerTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
12,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\MultiBackgroundInitializerTest.java,MultiBackgroundInitializerTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
13,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\MultiBackgroundInitializerTest.java,MultiBackgroundInitializerTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
14,dados\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableTest.java,FailableTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
